bundle_id,bundle_title,trend_keyword,theme,pillar,angle,format,hook_style,hook,caption_direction,caption_stub,visual_direction,aesthetic_tags,posting_window,cta,hashtags,priority_score,status,notes
d63f778c,10 Grocery Swaps That Save £20,10 grocery swaps that save £20,food,grocery_swaps,Simple swaps that cut the weekly shop without changing what you eat,carousel,utility_first,These grocery swaps could save you £20 this week,"Lead with the total saving, list each swap with exact price difference, end with the save CTA. Keep it scannable.",I switched to own-brand on these and honestly could not tell the difference.,"Side-by-side flat lay of branded vs own-brand items, warm light, short bold overlay showing the saving","warm_minimal,flat_lay,high_contrast",10:00-12:00,Save this before your next shop,"#GrocerySwaps,#SaveMoney,#BudgetShopping,#SupermarketHacks,#GroceryHaul,#MoneySaving,#OwnBrand",0.92,draft,number-led swap content highest saves this month
c6511b76,Budget Weeknight Dinners,budget weeknight dinners,food,weeknight_recipes,A real under-£3–5 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £3–5 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.91,draft,consistent save rate across UK food accounts
554cc94e,Simple Grocery Swaps,simple grocery swaps,food,grocery_swaps,Simple swaps that cut the weekly shop without changing what you eat,carousel,utility_first,These grocery swaps could save you £20 this week,"Lead with the total saving, list each swap with exact price difference, end with the save CTA. Keep it scannable.",I switched to own-brand on these and honestly could not tell the difference.,"Side-by-side flat lay of branded vs own-brand items, warm light, short bold overlay showing the saving","warm_minimal,flat_lay,high_contrast",10:00-12:00,Save this before your next shop,"#GrocerySwaps,#SaveMoney,#BudgetShopping,#SupermarketHacks,#GroceryHaul,#MoneySaving,#OwnBrand",0.9,draft,swap format carousels getting high share rates
c21188c2,£3 Dinner Ideas,£3 dinner ideas,food,weeknight_recipes,A real under-£3 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £3 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.88,draft,price-point hooks performing strongly
17e5af08,Supermarket Own-Brand Dupes,supermarket own-brand dupes,food,grocery_swaps,Simple swaps that cut the weekly shop without changing what you eat,carousel,utility_first,These grocery swaps could save you £20 this week,"Lead with the total saving, list each swap with exact price difference, end with the save CTA. Keep it scannable.",I switched to own-brand on these and honestly could not tell the difference.,"Side-by-side flat lay of branded vs own-brand items, warm light, short bold overlay showing the saving","warm_minimal,flat_lay,high_contrast",10:00-12:00,Save this before your next shop,"#GrocerySwaps,#SaveMoney,#BudgetShopping,#SupermarketHacks,#GroceryHaul,#MoneySaving,#OwnBrand",0.87,draft,branded vs own-brand comparison posts viral
eefa005d,Sunday Reset Routine,Sunday reset routine,lifestyle,sunday_reset,"A tiny doable Sunday reset that makes the week feel manageable — not aspirational, just honest",carousel,story_first,My tiny Sunday reset — takes 30 minutes and fixes the whole week,"Start with the feeling (not the aesthetic), share 3-5 small specific actions, end with why it works, then the save CTA.",Sunday does not have to be productive. It just has to feel reset.,"Soft Sunday morning light, calm home corner, minimal props, short overlay maximum 5 words","warm_minimal,soft_light,home_corner",08:00-10:00,Save this for Sunday,"#SundayReset,#SundayRoutine,#WeeklyReset,#SundayVibes,#SlowSunday,#ResetDay,#SundayHabits",0.86,draft,sunday ritual content spiking weekly
a4f23947,One Pan Weeknight Meals,one pan weeknight meals,food,weeknight_recipes,A real under-£3–5 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £3–5 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.85,draft,low-effort angle drives saves
117c60c3,Meal Plan On £30 A Week,meal plan on £30 a week,food,weeknight_recipes,A real under-£3 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £3 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.84,draft,budget meal planning content steady growth
4e065d00,Cheap Family Meals Under £5,cheap family meals under £5,food,weeknight_recipes,A real under-£5 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £5 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.83,draft,family budget angle resonating
ac86c1c5,Freezer Meal Prep,freezer meal prep,food,weeknight_recipes,A real under-£3–5 weeknight dinner that takes under 20 minutes and actually tastes good,carousel,utility_first,A £3–5 weeknight dinner that actually tastes good,"Show the finished dish first, list the key ingredients and rough cost, give one tip that makes it easier, end with the save CTA.",This is what I make when I need dinner fast and do not want to think about it.,"Warm overhead kitchen light, ingredients laid flat, short text overlay maximum 6 words, no clutter","warm_minimal,kitchen_closeup",17:00-19:00,Save this for tonight,"#BudgetMeals,#WeeknightDinner,#CheapEats,#MealIdeas,#BudgetCooking,#EasyDinner,#FamilyMeals",0.8,draft,batch cooking save-first content trending
ad5d31d4,Tiny Sunday Habits,tiny Sunday habits,lifestyle,sunday_reset,"A tiny doable Sunday reset that makes the week feel manageable — not aspirational, just honest",carousel,story_first,My tiny Sunday reset — takes 30 minutes and fixes the whole week,"Start with the feeling (not the aesthetic), share 3-5 small specific actions, end with why it works, then the save CTA.",Sunday does not have to be productive. It just has to feel reset.,"Soft Sunday morning light, calm home corner, minimal props, short overlay maximum 5 words","warm_minimal,soft_light,home_corner",08:00-10:00,Save this for Sunday,"#SundayReset,#SundayRoutine,#WeeklyReset,#SundayVibes,#SlowSunday,#ResetDay,#SundayHabits",0.79,draft,low-effort reset angle outperforming aspirational
06bdbc5c,Weekly Reset Checklist,weekly reset checklist,lifestyle,sunday_reset,"A tiny doable Sunday reset that makes the week feel manageable — not aspirational, just honest",carousel,story_first,My tiny Sunday reset — takes 30 minutes and fixes the whole week,"Start with the feeling (not the aesthetic), share 3-5 small specific actions, end with why it works, then the save CTA.",Sunday does not have to be productive. It just has to feel reset.,"Soft Sunday morning light, calm home corner, minimal props, short overlay maximum 5 words","warm_minimal,soft_light,home_corner",08:00-10:00,Save this for Sunday,"#SundayReset,#SundayRoutine,#WeeklyReset,#SundayVibes,#SlowSunday,#ResetDay,#SundayHabits",0.77,draft,list format getting strong saves
